SKU,product_name,store,positive_rate,positive_count,neutral_count,negative_count,negative_review_1,negative_review_2,negative_review_3,negative_review_4,negative_review_5
100133826752,京东京造【国家补贴】充电宝20000毫安大容量30W自带线快充移动电源户外可上飞机适用苹果华为小米荣耀手机,京东京造自营旗舰店,99%,10000,100,100,找客服问问题，都回不答不了问题的,储电差，百分之90秒变百分之45,充电慢，而且还发烫，掉电还快。,没用几次，苹果线就充不了电了。,产品不支持随身wifi充电。
100042985009,倍思磁吸充电宝Magsafe无线20W快充移动电源10000毫安适用于苹果16/15/14/13华为小米安卓手机,倍思（Baseus）京东自营旗舰店,97%,20000,500,500,还没有用不知道怎么样,无限充电用不了。没谁了,快递员说送了，货架上没找到，丢了。,裝了手機殼跟本吸不住,充电慢容量小跟描述的不一样
100031532138,小米充电宝移动电源 10000mAh 22.5W 移动电源 苹果20W充电 PD双向快充 银色 适用苹果安卓,小米京东自营旗舰店,97%,200000,5000,5000,您没有填写内容，默认好评,做工质感：快递小哥给力，谢谢。,此用户未及时填写评价内容,用了一个月就好了，现在到是发给厂家维修,充电宝用了三天亏电，这质量真的是够呛
100144381044,绿联充电宝自带线20000毫安30W快充 可上飞机大容量小巧便携移动电源 适用苹果iPhone16/15Pro小米华为,绿联（UGREEN）京东自营旗舰店,99%,5000,41,32,满电苹果16只能充两次,充不进电不让退，早知道你是这个代言人我真的不会考虑,自己会掉电……不推荐,产品还是挺不错，就买了不到一个月，就降了小20块，还不能价保了，无语,这个设计有问题，充电口自带的线连接手机后容易松动，带着出去玩，四天都用不了一半的电，因为你只要稍微一动就断开充电了，我只有到酒店以后不会带着它动，然而酒店里有插座。
100044819549,罗马仕【热卖34万+件】自带线充电宝20000毫安大容量22.5W快充 可上飞机移动电源 适用苹果16华为手机 蓝,罗马仕京东自营旗舰店,97%,50000,1000,1000,有一个借口一送来就坏了,商品好，商家客服回复差,有色差，买的是蓝色，到货是紫色,价格比其它地方贵几十,坏了不给修没法售后，那要售后干嘛。
