SKU,product_name,store,positive_rate,positive_count,neutral_count,negative_count,negative_review_1,negative_review_2,negative_review_3,negative_review_4,negative_review_5
10119956611544,威顿【66W超级快充丨国家3C认证】充电宝20000毫安适用小米移动电源大容量自带线户外可上飞机小巧便携 【皓月白】20000毫安+品牌电芯+快至当日达 2025年新款丨自带三快充线丨国家3C认证,得意影音娱乐专营店,99%,2000,0,3,充了几个小时还是1%垃圾充电宝，,,,,
10141253217046,充电宝20000毫安大容量超级快充自带线可上飞机移动电源适用小米 蓝-标准版【自带四线+普通快充】 【极速发货/次日达】可上飞机,米链手机数码配件工作室,99%,1000,1,0,,,,,
100133267851,CUKTECH酷态科10号超级电能棒Plus15000毫安时充电宝兼容120W/100W大功率快充支持笔记本/手机/小米/苹果,CUKTECH酷态科京东自营旗舰店,99%,5000,34,63,刚买了两天就百亿补贴降价了 还不能保价 心里不痛快,不好贴，还长了，也不粘边，真的服了,就这样包装？该说jd节省还是怎么了，隔壁友商平台买的酷态科自带线是有外包装的。,开箱损，接口是歪的。,充电宝容量虚标，而且价格还卖得贵，而且充电达不到120W.
10136859742730,犀狼【新国标3C认证 66W快充】充电宝20000毫安适用华为mate60/P70超大容量自带线可上飞机移动电源 【皓月白】66W超级快充+自带三线+温控芯片 【2025旗舰新品】顶配闪充芯片+提,犀狼得意专卖店,100%,200,0,0,,,,,
10060515593137,电沃达正品【120W超级快充丨顶配80000M】充电宝可上飞机20000毫安大容量移动电源适用于华为苹果小米等 尊享黑【超级快充+优质电芯】提速800% 20000M,电沃达旗舰店,96%,10000,200,200,充不了多少电就没有了,两万的只能充一次手机,陪伴这么多年，第一次退货😳😳😳,没收到货，已经差不多两个星期了物流还是没更新,用了两天，那个线就坏了
