SKU,product_name,store,positive_rate,positive_count,neutral_count,negative_count,negative_review_1,negative_review_2,negative_review_3,negative_review_4,negative_review_5
10142242864010,IMF 直营【顶配50000M丨可上飞机】120W超级快充自带线充电宝小巧移动电源适用安卓苹果小米VIVO手机 流心黄【顶配50000M+提速999】 【全国当日/次日达】顶配50000M丨可上飞机高,IMF旗舰店,100%,2000,0,0,,,,,
10090856414152,超级马 3C认证【顶配80000M丨可上飞机】超级马快充大容量充电宝自带线移动电源适用于苹果小米20000毫安 尊享:50000M+超级快充+提速500% 【全国当日次日达】拍顶配80000M｜升级终,超级马官方旗舰店,99%,20000,70,100,虚假广告，根本充不到几次就没电了,八万容量 最多充电五次？ 实物 比图片厚三倍,此用户未填写评价内容,产品质量有问题。坏的发给我换了一次还是坏的。退款还得自己付运费。😁😁,买来还没用就坏的…退货还麻烦，注意辨别吧，还是得买牌子的
100047622232,remax睿量22.5W超级快充20000毫安充电宝移动电源可上飞机PD20W双向快充适用苹果16Pro小米华为荣耀手机,睿量（REMAX）京东自营旗舰店,98%,20000,200,200,不太好用，充电快充充不上,此用户未及时填写评价内容,不能给关机的手机充电,才没几天，充电就不行了,用几次就冲不进去电了
10129004694713,炫威达【80000M丨可上飞机】充电宝超大容量超级快充自带线移动电源适用华为苹果小米40000以上20000毫安 旗舰版50000M【电芯升级】自带线提速666,炫威达旗舰店,100%,1000,0,0,,,,,
100063803015,CUKTECH酷态科15号电能柱20000毫安时充电宝多口150W大功率单口120W/100W快充LED数显适用小米/笔记本,CUKTECH酷态科京东自营旗舰店,98%,20000,200,200,买来就是坏的接口不好使,买了没几天就掉价那么多,此用户未及时填写评价内容,说是笔记本支持100w结果就是最高支持到100w,买了两个，最近这个买了8天降了80，真棒
