SKU,product_name,store,positive_rate,positive_count,neutral_count,negative_count,negative_review_1,negative_review_2,negative_review_3,negative_review_4,negative_review_5
10129866147676,闪科威【120W快充】充电宝20000毫安自带线可上飞机小巧便携大功率大容量超薄移动电源适用小米苹果华为 白色丨旗舰版丨国产电芯丨提速666% 10000毫安丨可上飞机丨智能控温丨自带四线,闪科威旗舰店,96%,5000,100,100,四千多容量的手机充不满两次,用特么一个月没用了，容量没有那么大,电量用的很快，而且充电速度很慢,不是华为的，与华为半毛钱关系没有，接口插线接触不良,没用几天就坏了，充不了电了，质量好差
100075439621,罗马仕充电宝27000毫安时大容量65W大功率快充移动户外储能电源智能屏显 适用于苹果小米华为手机笔记本,罗马仕京东自营旗舰店,97%,200000,2000,2000,刚买第三天，今天灯不亮了,相比价格比较高些，质量用后追加评价,此用户未填写评价内容,不充电，换了根线一样，充电断续,货没收到，却显示收到货了
100125366365,ANKERzolo安克MFI认证旅行充电宝自带双线20000毫安mAh大容量移动电源30W快充可上飞机安卓苹果 蓝,Anker京东自营旗舰店,99%,5000,28,35,购买的2万毫安的充电宝，但是这个只冲了两次，电量就剩下35%，这个容量绝对是虚标的！,差评是给快递员的，态度差，不上门,用充电宝充电 手机发烫严重,本来是为了出差特地买的。结果根本无法充电，完全耽误事！,京东现在吃相真的越来越难看，第一天169买的，第二天降价129，然后说百亿补贴商品，不能价格保护，失望。
100149010326,ANKER 安克能量舱【东尼ookii推荐】165W充电宝超大容量自带伸缩线25000毫安100W快充移动电源可上飞机,Anker京东自营旗舰店,98%,2000,19,33,东西是好东西，各位买的越晚越划算1多天买亏了99，现在电子产品真廉价，买的越早亏得越多,不防水，不防摔，放包里自己就花了没有尖锐物品,用了一周就开始冒烟，室内空调房内充电，安全性能真不错,华为的设备，不建议买这个，太慢了,太重了，日常出行带着有点不方便。
100106099450,CUKTECH酷态科15号电能柱SE20000毫安时大容量充电宝单口65W快充多口100W大功率适用苹果小米笔记本等,CUKTECH酷态科京东自营旗舰店,98%,10000,100,100,屏幕里面胶没有除干净，品控有问题,此用户未及时填写评价内容,充完iphone屏幕失灵了,购物不用看☀️🌰，天天都是双十一,续航不太好使，充2次15就没电了
