SKU,product_name,store,positive_rate,positive_count,neutral_count,negative_count,negative_review_1,negative_review_2,negative_review_3,negative_review_4,negative_review_5
100016436144,华为原装12000毫安移动电源充电宝 双向66W超级快充 优质电芯 适用华为手机Pura 80系列/X5 白色,华为京东自营旗舰店,99%,50000,200,500,没啥暖用，被捆绑消费的,此用户未及时填写评价内容,质量不怎么样，不建议购买,我的充了一次就充不上电了！,送货后未通知买方，几天后通过京东app才知道已到货
100200931898,罗马仕（ROMOSS）55W自带线充电宝20000毫安时快充移动电源 可上飞机适用于苹果/小米/红米/华为/笔记本 奶杏色,罗马仕京东自营旗舰店,97%,20000,200,200,原配的数据线居然是坏的,客服给的连接，23点买，00点就降价20，还不告知有***,12小时充电26可以的,充电慢，说的有线，送来没有线,其他特色：充电中时不时停止充电
10144325775428,中诺 CHINOE充电宝20000毫安22.5W超级快充自带线大容量移动电源可上飞机适用苹果安卓华为手机 20000毫安自带三线22.5W快充+数显电量,中诺 CHINOE手机配件旗舰店,100%,500,0,0,,,,,
100105445930,绿联充电宝10000毫安22.5W快充 可上飞机大容量小巧迷你便携移动电源 适用苹果/小米/华为/OPPO/一加,绿联（UGREEN）京东自营旗舰店,99%,20000,100,100,充一次电就没什么电了,充一次手机就余下百分之二十几,充手机电不能快充，没有什么用,充电宝不咋地，充一次就没电了,这个月买的一下就降价20划不来
100200931926,倍思（Baseus）极客充【京东独家】充电宝20000毫安自带线145W大功率快充小巧移动电源可上飞机苹果华为电脑适用,倍思（Baseus）京东自营旗舰店,97%,1000,12,18,充电功率基本维持在10到20w之间，iqoo手机和小米平板都一样功率很小,冲着145w大功率买的 结果只有usb是超级快充其他都是快充 实在不知道145的意义？,说实话花了将近300这个东西蓄电能力一般。准备购买的兄弟姐们千万别踩雷了,千万不要买，到手后多次使用发现标识的剩余电量非常假！剩余百分之二十多的电量充不到两分钟就提示没电了！非常不耐充！又贵，买个几十元的充电宝都比这个好,充电速率不对，别被骗了，线说是100W，实际最高17W，而且还在时刻变动，用华为mate60和VIVO测试出来的，
