SKU,product_name,store,positive_rate,positive_count,neutral_count,negative_count,negative_review_1,negative_review_2,negative_review_3,negative_review_4,negative_review_5
100024102298,罗马仕【热销200万+件】充电宝20000毫安22.5W快充 可上飞机苹果20W快充 适用华为苹果小米手机,罗马仕京东自营旗舰店,97%,200000,2000,5000,此用户未填写评价内容,此用户未及时填写评价内容,此用户未及时填写评价内容,此用户未填写评价内容,此用户未及时填写评价内容
100096418777,小米（MI）小米自带线充电宝20000 33W 浅咖色 适用小米/红米/redmi/苹果/安卓/手机 出行便携,小米京东自营旗舰店,98%,100000,1000,1000,充电过程中插头过热烫手,刚买了几天就发现降价了，体验感不好,此用户未填写评价内容,容量很一般，性价比不高！,嗯，那个壳被压的稀烂了，还是有点小
100097634241,CUKTECH酷态科电能块自带线20000毫安时移动电源55W快充充电宝可上飞机适用苹果16三星小米笔记本电脑CP25,CUKTECH酷态科京东自营旗舰店,97%,20000,200,200,充电一个小时一直卡在99格,说好的可以上飞机呢，到机场都给我扣了,此用户未及时填写评价内容,国补的东西有点小瑕疵哈,刚买就降价了，还没有价保，幽默
100073745484,罗马仕30W自带线充电宝20000毫安时双向快充 支持苹果15可上飞机 适用于苹果华为手机平板笔记本 远峰蓝,罗马仕京东自营旗舰店,98%,1000000,10000,10000,刚买1天就降价，看到心不爽,根本没收到货，快递丢了,此用户未填写评价内容,第一天买了第二天就降价了！,东西不错快递慢了一天
100140584252,倍思（Baseus）充电宝20000毫安自带线大容量22.5W快充极速数显适用于苹果15/16全系小米华为安卓移动电源 柔雾咖,倍思（Baseus）京东自营旗舰店,98%,5000,90,89,买回来就那个上面就有划痕花了唉,才用了一次就充不上电,打开快递发现盒子已经被撕开的痕迹，明显这不是纯新包装,充满了，没用会自己掉电,早上八点开始充电，充到晚上九点五十，充到了27%。离谱！
