SKU,product_name,store,positive_rate,positive_count,neutral_count,negative_count,negative_review_1,negative_review_2,negative_review_3,negative_review_4,negative_review_5
100172187106,倍思卡片磁吸充电宝Magsafe无线27W快充移动电源10000mAh星原钛苹果16/15/14/13华为小米手机户外电源,倍思（Baseus）京东自营旗舰店,97%,5000,92,100,没用多久就充不进电了！,充了十分钟就充了百分之一哈哈哈😂,容量虚标 小米15充50%就没电了,充几分钟后机子和手机都在发烫,四边刮手 充电发热 烂货
100066290036,绿联磁吸充电宝兼容MagSafe无线10000毫安20W快充外接电池可上飞机移动电源适用苹果16/15/华为/小米,绿联（UGREEN）京东自营旗舰店,97%,20000,500,500,为什么别人买的是299我的却是四百多我找客服没人理我,蓄电容量：买贵了 噱头而已 不大好,没有电源怎么充电 客服不理人 买的时候没说明清楚,此用户未填写评价内容,到手是个坏的，不能给手机手表充电。
100109593258,ANKER安克【京东独家】自带双线充电宝20000毫安mAh超大容量30W快充移动电源可上飞机安卓苹果手机黑,Anker京东自营旗舰店,98%,5000,65,92,没有送货上门也没提前告知,typec那条线有问题，重，物流很快,**** 第一次充电就充不进去电了 这质量差也是服了,乐，苹果专用的充电宝，结果苹果那根线充不进电，typec的线倒是没问题，牛的牛的,换了两个充电宝了，每个苹果充电口都是用一段时间就坏
10058663112762,IMEV【20000M】苹果磁吸充电宝Magsafe无线快充iPhone16/15/14/13/12promax外接电池移动电源便携小巧 【智能版型号20000m】一贴即充双向快充不伤机,IMEV官方旗舰店,99%,10000,100,100,假冒伪劣不再值得信任了京东,冲一会就发烫 手机充电宝都是烫的,买的两万毫安的但是却还没有倍思一万毫安的耐用,不知道是不是别人退的，盒子是脏的，充电一会行一会不行，客服也没说怎么着,蓄电容量：苹果手机只能充满一次。
10129866147676,闪科威【120W快充】充电宝20000毫安自带线可上飞机小巧便携大功率大容量超薄移动电源适用小米苹果华为 白色丨旗舰版丨国产电芯丨提速666% 10000毫安丨可上飞机丨智能控温丨自带四线,闪科威旗舰店,96%,5000,100,100,四千多容量的手机充不满两次,用特么一个月没用了，容量没有那么大,电量用的很快，而且充电速度很慢,不是华为的，与华为半毛钱关系没有，接口插线接触不良,没用几天就坏了，充不了电了，质量好差
